Business/Company Name,Main Category,Sub Category,Street Address,City,State,Zip Code,Phone Number,Country
Barrio Fiesta,Eat/Drink,Restaurants,"SE corner of Alma School Road & Elliot
941 W Elliot Rd",Chandler,Arizona,85225,480.855.4646,USA
"Manila Bakery
(by Lee Lee's Supermarket)",Eat/Drink,Bakery,2095 North Dobson Road,Chandler,Arizona,85224-2396,480.917.2350,USA
Ciudad de Manila,Eat/Drink,Restaurants,3929 E Main St  Suite #16,Mesa,Arizona,85205,480.699.1414,USA
"Why Cook Restaurant, Catering",Eat/Drink,Catering,2121 W Guadalupe Rd #8 ,Mesa,Arizona,85202,480.491.2545,USA
Pinoy Fast Food,Eat/Drink,Restaurants,7159 E Broadway Blvd,Tucson,Arizona,85710,520.722.7399,USA
Manila Diner,Eat/Drink,Restaurants,2707 S Adams,Camden,Arkansas,71701,870.231.5664,USA
Milin Filipino Eatery,Eat/Drink,Restaurants,3489 Wedington Dr,Fayetteville,Arkansas,72704,1.479.527.0469,USA
Savory Chicken ,Eat/Drink,Restaurants,1557 Landess Ave,Milipitas,California,95035,408.945.8616,USA
Tina's Kusina,Eat/Drink,Restaurants,698 W Dana St,Mountain View,California,94041,650.254.1788,USA
Fil-Am Bakery & Fast Food,Eat/Drink,Restaurants,4571 Gateway Park Blvd,Sacramento,California,95835,916.419.2606,USA
Patio Filipino,Eat/Drink,Restaurants,1770 El Camino Real,San Bruno,California,94066,"650.872.9888
650.863.3888
650.207.8377",USA
Cristy's Bakery & Restaurant,Eat/Drink,Restaurants,9178 Mira Mesa Blvd,San Diego,California,92126,858.271.6135,USA
Manila Sunset,Eat/Drink,Restaurants,925 E Plaza Blvd,National City,California,91950,619.474.0421,USA
Remy's Filipino Chinese Foods,Eat/Drink,Restaurants,2481 Broadway,San Diego,California,92102,619.238.8292,USA
3 Star Rice Company ,Eat/Drink,Restaurants,2007 Tully Rd,San Jose,California,95122,408.251.8900,USA
Chowking ,Eat/Drink,Restaurants,3059 McKee Rd,San Jose,California,95127,408.251.2254,USA
Demison,Eat/Drink,Restaurants,1647 N Capitol Ave,San Jose,California,95132,408.258.2155,USA
Gold Tray Manila ,Eat/Drink,Restaurants,5320 Monterey Hwy,San Jose,California,95111,408.225.4027,USA
Goldilocks Bakeshop & Restaurant ,Eat/Drink,Bakery,1698 Hostetter Rd,San Jose,California,95131,408.453.2537,USA
I Grill ,Eat/Drink,Restaurants,2850 Quimby Rd,San Jose,California,95148,408.239.0553,USA
Manila Express Philippine Cuisine,Eat/Drink,Restaurants,1010 S Peoria Street,Aurora,Colorado,80012,720.858.9898,USA
Nanay Betty's Filipino Restaurant and Karaoke Bar,Eat/Drink,Restaurants,1863 S. Academy Blvd.,Colorado Springs,Colorado,80916,719.596.4019,USA
Philippine Bread House and Restaurant,Eat/Drink,Restaurants,1020 Capitol Trail,Newark,Colorado,19711,302.455.1211,USA
Mercel's Bakeshop,Eat/Drink,Bakery,9150 49th St. Unit A,Pinellas Park,Florida,33782,727.546.3560,USA
Philippine Cuisine,Eat/Drink,Restaurants,3786 E Gulf To Lake Highway,Inverness,Florida,34453,352.344.5212,USA
Aurea's Philippine Cuisine,Eat/Drink,Restaurants,10916 Atlantic Boulevard # 8,Jacksonville,Florida,32225,904.996.8662,USA
Three Angels Filipino Oriental,Eat/Drink,Restaurants,3197 W Vine Street,Kissimmee,Florida,34741,407.847.7121,USA
Philippines Buffet,Eat/Drink,Restaurants,125 SE 3rd Avenue,Miami,Florida,33131,305.373.1736,USA
Bistro Filipino,Eat/Drink,Restaurants,575 S Chickasaw Trail,Orlando,Florida,32825,407.281.8211,USA
Pearl of the Orient (Filipino/Japanese),Eat/Drink,Restaurants,713 Watson Blvd,Warner Robins,Georgia,31093,912.922.1497,USA
Lyn's Philippine Restaurant,Eat/Drink,Restaurants,2203 Watson Blvd,Warner Robins,Georgia,31093,478.923.1907,USA
BAUTISTA'S FILIPINO KITCHEN INC. ,Eat/Drink,Restaurants,180 PEARLRIDGE CTR,AIEA ,Hawaii,96701,808.487.2234,USA
DANICITA'S FILIPINO RESTAURANT ,Eat/Drink,Restaurants,75-5660 KOPIKO ST STE D-3,KAILUA-KONA,Hawaii,96740,808.329.3123,USA
ELENA'S FILIPINO FOOD ,Eat/Drink,Restaurants,94-300 FARRINGTON HWY.,WAIPAHU ,Hawaii,96797,808.671.3279,USA
"ELENA'S FILIPINO RESTAURANT 
",Eat/Drink,Restaurants,"94-866 MOLOALO ST #D4A
",WAIPAHU ,Hawaii,96797,808.676.8005,USA
"ISLAND FILIPINO KITCHEN, LLC 
",Eat/Drink,Restaurants,"417 KALANIKOA ST UNIT B
",HILO,Hawaii,96720,808.961.5470,USA
"JULIE'Z RESTAURANT FILIPINO-HOMESTYLE CUISINE LLC 
",Eat/Drink,Restaurants,"91-590 FARRINGTON HWY STE 532
",KAPOLEI ,Hawaii,96707,808.693.8778,USA
"VICKY'S FILIPINO FAST FOOD 
",Eat/Drink,Restaurants,"1113 FT STREET MALL
",HONOLULU ,Hawaii,96813,808.526.3950,USA
"KUSINA ORIENTAL LLC 
",Eat/Drink,Restaurants,"1295 D SOUTH KIHEI RD

",KIHEI  ,Hawaii,96753,808.875.8317,USA
"PHILMART ORIENTAL AND FASTFOOD LLC 
",Eat/Drink,Restaurants,"300 OHUKAI RD
",KIHEI  ,Hawaii,96753,808.891.0481,USA
"KAWAYAN
",Eat/Drink,Restaurants,"1543 Haleukana Street,
",Lihue ,Hawaii,96766,808.245.8823,USA
Lito's Filipino Fast Food,Eat/Drink,Restaurants,"1120 Maunakea Street, Suite 119
",Honolulu ,Hawaii,96817,"
808.524.5590 ",USA
"G J'S Filipino Restaurant
",Eat/Drink,Restaurants,"64-1067 Mamalahoa Highway # A1
",Kamuela ,Hawaii,96743,808.885.1210,USA
Pearlridge Center ,Eat/Drink,Restaurants,"Uptown, Bautista's Filipino Kitchen","Aiea 96701
 ",Hawaii,96701,808.487.2234,USA
"MANG Gorios' Lechon Foods & Catering Inc
",Eat/Drink,Restaurants,"98-524 Kaimu Loop,
",Aiea,Hawaii,96701,808.484.0731,USA
Bautista's Filipino Kitchen,Eat/Drink,Restaurants,"
98-1005 Moanalua Road # Fs5,
",Aiea,Hawaii,96701,808.487.2234,USA
"Pista sa Nayon / Philippine Cuisine
",Eat/Drink,Restaurants,"8716 W Fairview Ave.
",Boise ,Idaho,83704,208.376.9881,USA
Shaka Shak,Eat/Drink,Restaurants,"2100 S Broadway Ave
",Boise ,Idaho,83706,208.331.0404,USA
"Joy & James Cafe
",Eat/Drink,Cafes,"4701 W Lawrence Avenue,
",Chicago,Illinois,60630,773.736.2233,USA
"Pampanga's Cuisiane Filipino
",Eat/Drink,Restaurants,"6407 North Caldwell Avenue,
",Chicago,Illinois,60646,773.763.1781,USA
"Isla Pilipina Restaurant
",Eat/Drink,Restaurants,"2501 W Lawrence Avenue,
",Chicago,Illinois,60625,773.271.2988,USA
"Filipino Food Catering
",Eat/Drink,Catering,"6019 Dempster Street,
",Morton Grove,Illinois,60053,847.967.5620,USA
"Taste Of The Orient
",Eat/Drink,Restaurants,"459 N. Bolingbrook
",Bolingbrook,Illinois,60440,630.226.9500,USA
"3R's Oriental Food
",Eat/Drink,Restaurants,"2712 W. Montrose
",Chicago,Illinois,60618,773.539.4714,USA
"Amihan Restaurant
",Eat/Drink,Restaurants,"2501 W Lawrence Ave # 4d
",Chicago,Illinois,60625-2958,773.271.2988,USA
"Barrio Fiesta
",Eat/Drink,Restaurants,"3316 N Central Ave
",Chicago,Illinois,60634-4324,773.282.0885,USA
"Cafe Ze Manila
",Eat/Drink,Restaurants,"2159 China Place
",Chicago,Illinois,60616,312.949.0636,USA
"D'manilans Restaurant
",Eat/Drink,Restaurants,"4416 N. Clark Street
",Chicago,Illinois,60640,312.271.1119,USA
Little Quiapo,Eat/Drink,Restaurants,"4423 N Clark St
",Chicago,Illinois,60640,773.271.5441,USA
"Pilipino-Thai Restaurant
",Eat/Drink,Restaurants,"5349 Belmont Avenue
",Chicago,Illinois,60634,312.777.7760,USA
"Rambutan
",Eat/Drink,Restaurants,2049 W Division St,Chicago,Illinois,60622,773.772.2727,USA
"Nanay¹s Kakanin
",Eat/Drink,Restaurants,4524 N. Paulina Unit E,Chicago,Illinois,60640,312.334.5611,USA
"Cebu
",Eat/Drink,Restaurants,7329 Lemont Rd.,Downers Grove,Illinois,60516,630.633.8803,USA
"Hong Ning
",Eat/Drink,Restaurants,"2204 Bloomingdale Rd
",Glendale Heights,Illinois,60139,630.539.0240,USA
"Sweet Table by Feliz
",Eat/Drink,Restaurants,"4708 W. Touhy Avenue
",Lincolnwood,Illinois,60712,847.679.7300,USA
"Filipiniana Restaurant
",Eat/Drink,Restaurants,"9060 Golf Rd.
",Niles,Illinois,60714,847.298.9332,USA
"Ma Mon Luk
",Eat/Drink,Restaurants,"9182 Golf Road
",Niles,Illinois,60714,847.803.3652,USA
"Village Creamery
",Eat/Drink,Restaurants,8000 Waukegan Rd.,Niles,Illinois,60714,847.965.9805,USA
"Bahay Kubo House of Filipino
",Eat/Drink,Restaurants,"1310 Lake St.
",Rosselle,Illinois,60712,630.894.9022,USA
"Thai Lao & Filipino Cuisine
",Eat/Drink,Restaurants,"1835 S Bend Avenue,
",South Bend,Indiana,46637,574.271.8845,USA
"Manila Grill
",Eat/Drink,Restaurants,Lima Rd.,Ft Wayne,Indiana,46818,219.497.9737,USA
"Philippine Grille, Restaurant & Catering
",Eat/Drink,Restaurants,"9125 West Central Avenue,",Wichita,Kansas,67212,316.773.4838,USA
Sari Sari,Eat/Drink,Restaurants,"2339 Frankfort Avenue,","Louisville,",Kentucky,40206,502.894.0505,USA
Streetcar Bistro,Eat/Drink,Restaurants,201 baronne st.,New Orleans,Louisiana,70112,504.565.5455,USA
Cila's Oriental Store/Philippine Cuisine,Eat/Drink,Restaurants,49 Main street,Brunswick,Maine,4086,207.725.7904,USA
Taste of the Orient,Eat/Drink,Restaurants,Wiscasset,Wiscasset,Maine,4578,207.882.4100,USA
Philippine Oriental Foods,Eat/Drink,Restaurants,"8019 Philadelphia Road,",Rosedale,Maryland,21237,410.866.5820,USA
Kabayan Filipino American Restaurant,Eat/Drink,Restaurants,"9223 Oxon Hill Road,",Fort Washington,Maryland,20744,301.839.7393,USA
Manila Grill,Eat/Drink,Restaurants,1725 East Lombard Street,Baltimore,Maryland,21231,410.534.0427,USA
Kababayan Filipino American Restaurant,Eat/Drink,Restaurants,9225 Oxon Hill Rd,Fort Washington,Maryland,20744,301.839.7393,USA
House of Chang/With Filipino Cuisine,Eat/Drink,Restaurants,9400 Livingston Rd.,Fort Washington,Maryland,20744,301.248.8500,USA
Cho Catering,Eat/Drink,Catering,8621 Ziggy Lane,Gaithersburg,Maryland,20877,301.527.7788,USA
Lumpia Pansit atbp Filipino Restaurant,Eat/Drink,Restaurants,213 Muddy Branch Road,Gaithersburg,Maryland,20877,301.527.7788,USA
Navarro Philippine Restaurant,Eat/Drink,Restaurants,445 N. Crain Hwy.,Glen Burnie,Maryland,21061,410.863.0123,USA
